# Lagarith range-coder reciprocal-multiply LUT (extraction artefact)
#
# Source binary (x86-64): reference/binaries/system32/lagarith.dll
#   SHA-256: f90f371146ee0b762e4d0c95b336cad2dcff8802953e8667ed0b16389b1dd89c
#   RVA:        0x0001b9a0
#   File offset: 0x0001ada0
# Source binary (i386):  reference/binaries/syswow64/lagarith.dll
#   SHA-256: bac1ea74a9763008f44d3d0f2951ba9a44853e0d72164521a74dc7dd1df20bcc
#   RVA:        0x0002e870
#   File offset: 0x0002d270
# Cross-arch byte-equivalence: IDENTICAL
#
# Total entries: 2048 (each entry is one little-endian uint32)
# Total bytes:   8192
# Tool: extract-luts.sh (this script) + python3 struct.unpack('<2048I', ...)
#
# Columns: index, value_hex, value_dec
# value is the 32-bit little-endian word at file offset (T0_OFF + index*4).
index,value_hex,value_dec
205,0x013fb013,20951059
206,0x013e22cb,20849355
207,0x013c995a,20748634
208,0x013b13b1,20648881
209,0x013991c2,20550082
210,0x01381381,20452225
211,0x013698df,20355295
212,0x013521cf,20259279
213,0x0133ae45,20164165
214,0x01323e34,20069940
215,0x0130d190,19976592
216,0x012f684b,19884107
217,0x012e025c,19792476
218,0x012c9fb4,19701684
219,0x012b404a,19611722
220,0x0129e412,19522578
221,0x01288b01,19434241
222,0x0127350b,19346699
223,0x0125e227,19259943
224,0x01249249,19173961
225,0x01234567,19088743
226,0x0121fb78,19004280
227,0x0120b470,18920560
228,0x011f7047,18837575
229,0x011e2ef3,18755315
230,0x011cf06a,18673770
231,0x011bb4a4,18592932
232,0x011a7b96,18512790
233,0x01194538,18433336
234,0x01181181,18354561
235,0x0116e068,18276456
236,0x0115b1e5,18199013
237,0x011485f0,18122224
238,0x01135c81,18046081
239,0x0112358e,17970574
240,0x01111111,17895697
241,0x010fef01,17821441
242,0x010ecf56,17747798
243,0x010db20a,17674762
244,0x010c9714,17602324
245,0x010b7e6e,17530478
246,0x010a6810,17459216
247,0x010953f3,17388531
248,0x01084210,17318416
249,0x01073260,17248864
250,0x010624dd,17179869
251,0x0105197f,17111423
252,0x01041041,17043521
253,0x0103091b,16976155
254,0x01020408,16909320
255,0x01010101,16843009
256,0x01000000,16777216
257,0x00ff00ff,16711935
258,0x00fe03f8,16647160
259,0x00fd08e5,16582885
260,0x00fc0fc0,16519104
261,0x00fb1885,16455813
262,0x00fa232c,16393004
263,0x00f92fb2,16330674
264,0x00f83e0f,16268815
265,0x00f74e3f,16207423
266,0x00f6603d,16146493
